peak_n,peak_n1
54.98699704085322,56.79741691298336
56.79741691298336,57.274439180783936
57.274439180783936,55.233051484213874
55.233051484213874,53.80250946928464
53.80250946928464,55.35863125730837
55.35863125730837,60.90470814090444
60.90470814090444,60.56726246867268
60.56726246867268,59.42761622900413
59.42761622900413,56.41024593988555
56.41024593988555,57.8165155183492
57.8165155183492,57.677634191469636
57.677634191469636,58.70394787396132
58.70394787396132,58.90939873202193
58.90939873202193,60.259512080143814
60.259512080143814,58.315076366296545
58.315076366296545,55.59311988348539
55.59311988348539,55.33226431019223
55.33226431019223,58.50144840669358
58.50144840669358,57.924874756617385
57.924874756617385,55.57574089486688
55.57574089486688,57.14779162582629
57.14779162582629,54.708120261148665
54.708120261148665,55.15622064623471
55.15622064623471,56.92066973213471
56.92066973213471,55.642339913852574
55.642339913852574,58.2853418168293
58.2853418168293,55.80947630709443
55.80947630709443,56.48641513405386
56.48641513405386,58.747619130444185
58.747619130444185,54.120135692013775
54.120135692013775,54.33698165455453
54.33698165455453,54.97719793616632
54.97719793616632,54.423951624457764
54.423951624457764,57.68413901661066
57.68413901661066,55.443257309638874
55.443257309638874,53.36704300378941
53.36704300378941,56.311763274020116
56.311763274020116,56.490174054410986
56.490174054410986,56.58991505909694
56.58991505909694,58.85116106282672
58.85116106282672,59.06634261865191
59.06634261865191,55.37692358767423
55.37692358767423,54.44684946578472
54.44684946578472,52.743118894409854
52.743118894409854,55.42092840079757
55.42092840079757,53.05848349992822
53.05848349992822,53.60588286747235
53.60588286747235,54.20948414572578
54.20948414572578,54.15076667945162
54.15076667945162,56.031706372848156
56.031706372848156,55.28041258029077
55.28041258029077,57.21130572873227
57.21130572873227,60.90192942742743
60.90192942742743,60.338685567619926
60.338685567619926,61.8470758230172
61.8470758230172,64.15798306515227
64.15798306515227,60.09761458155428
60.09761458155428,59.06082460006101
59.06082460006101,57.249673544053785
57.249673544053785,58.59490055393753
58.59490055393753,55.24679891738408
55.24679891738408,56.731232524563865
56.731232524563865,55.55516102230228
55.55516102230228,60.42260356160712
60.42260356160712,58.85463724623572
58.85463724623572,56.22732323594653
56.22732323594653,55.55021011132825
55.55021011132825,58.84110716408492
58.84110716408492,58.71184500956718
58.71184500956718,57.393989692712545
57.393989692712545,58.491807358695915
58.491807358695915,55.11595825805585
55.11595825805585,58.286541090270774
58.286541090270774,56.24153283945991
56.24153283945991,56.60948625975923
56.60948625975923,55.84611779983935
55.84611779983935,56.03466532489916
